Woche,Geschäftsnr,Betreff,Ergebnis,Konfidenz,PDF
26.08.2026,CG230030,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/CG230030-L6.pdf
26.08.2026,FV240096,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV240096-L4.pdf
26.08.2026,FV240088,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV240088-L3.pdf
19.08.2026,RT250256,Rechtsöffnung Beschwerde gegen ein Urteil des Einzelgerichts am Bezirksgericht P,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RT250256-O3.pdf
19.08.2026,PS260207,Konkurseröffnung Beschwerde gegen ein Urteil des Einzelgerichtes des Bezirksgeri,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260207-O2.pdf
19.08.2026,SB250231,versuchte schwere Körperverletzung etc. im Zustand der Schuld- unfähigkeit,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250231-O1.pdf
19.08.2026,LF250071,gerichtliches Verbot Berufung gegen eine Verfügung des Einzelgerichtes s.V. des ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LF250071-O2.pdf
19.08.2026,NP260010,Feststellung des Nichtbestehens einer Schuld (Art. 85a SchKG) Berufung gegen ein,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NP260010-O2.pdf
19.08.2026,LC230015,Ehescheidung Berufung gegen ein Urteil des Einzelgerichts am Bezirksgericht Meil,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LC230015-O24.pdf
19.08.2026,NG250020,Anfechtung Kündigung Berufung gegen eine Verfügung des Mietgerichtes des Bezirks,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NG250020-O3.pdf
19.08.2026,NP250001,Forderung Berufung gegen ein Urteil des Einzelgerichts im vereinfachten Verfahre,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NP250001-O11.pdf
19.08.2026,SB250449,unrechtmässiger Bezug von Leistungen einer Sozialversicherung oder der Sozialhil,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250449-O1.pdf
19.08.2026,NG250022,Kündigunggschutz / Anfechtung Berufung gegen ein Urteil des Mietgerichtes Zürich,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NG250022-O1.pdf
19.08.2026,SB250491,mehrfache Drohung etc. im Zustand der Schuldunfähigkeit Berufung gegen ein Urtei,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250491-O1.pdf
19.08.2026,SB250266,"Raub etc. Berufung gegen ein Urteil des Bezirksgerichtes Zürich, 2. Abteilung, v",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250266-O1.pdf
